book,formation_index,formation,play_index,play,man_slot,man_position,zone_slot,zone_position,boundary,rule,image
CAR,30,Dime,14,Combo Inside Zone,9,CB2,4,CB4,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals CB4 (slot 4) and takes a zone at X +15, depth 18 yards. CB4 starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",CAR-p014-f30.png
CAR,30,Dime,14,Combo Inside Zone,10,CB,6,CB3,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals CB3 (slot 6) and takes a zone at X -15, depth 18 yards. CB3 starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",CAR-p014-f30.png
CHI,24,4-3,14,Combo Inside Zone,9,CB2,4,OLB2,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB2 (slot 4) and takes a zone at X +15, depth 18 yards. OLB2 starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",CHI-p014-f24.png
CHI,24,4-3,14,Combo Inside Zone,10,CB,6,OLB,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals OLB (slot 6) and takes a zone at X -15, depth 18 yards. OLB starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",CHI-p014-f24.png
CHI,24,4-3,27,Combo Strong Zone,,,,,,"OLB2 (slot 4) has a zone-to-man continuation, waiting for its own slot signal; its later man node names CB2 (slot 9) as partner. The stored partner slots are not reciprocal. Live effect is unproved.",CHI-p027-f24.png
CHI,24,4-3,27,Combo Strong Zone,,,,,,"CB2 (slot 9) has a man-to-zone rule when the receiver moves left past the defender and the midpoint between that defender and the game's reference player. It signals DE2 (slot 0), then takes a zone at X +14, depth 18 yards. The stored partner slots are not reciprocal. Live effect is unproved.",CHI-p027-f24.png
CHI,25,Nickel,27,Combo Strong Zone,,,,,,"OLB (slot 4) has a zone-to-man continuation, waiting for its own slot signal; its later man node names CB2 (slot 9) as partner. The stored partner slots are not reciprocal. Live effect is unproved.",CHI-p027-f25.png
CHI,25,Nickel,27,Combo Strong Zone,,,,,,"CB2 (slot 9) has a man-to-zone rule when the receiver moves left past the defender and the midpoint between that defender and the game's reference player. It signals DE2 (slot 0), then takes a zone at X +14, depth 18 yards. The stored partner slots are not reciprocal. Live effect is unproved.",CHI-p027-f25.png
CHI,26,Dime,27,Combo Strong Zone,,,,,,"CB4 (slot 4) has a zone-to-man continuation, waiting for its own slot signal; its later man node names CB2 (slot 9) as partner. The stored partner slots are not reciprocal. Live effect is unproved.",CHI-p027-f26.png
CHI,26,Dime,27,Combo Strong Zone,,,,,,"CB2 (slot 9) has a man-to-zone rule when the receiver moves left past the defender and the midpoint between that defender and the game's reference player. It signals DE2 (slot 0), then takes a zone at X +14, depth 18 yards. The stored partner slots are not reciprocal. Live effect is unproved.",CHI-p027-f26.png
CIN,27,4-3,3,Combo Strong Zone,,,,,,"OLB2 (slot 4) has a zone-to-man continuation, waiting for its own slot signal; its later man node names CB2 (slot 9) as partner. The stored partner slots are not reciprocal. Live effect is unproved.",CIN-p003-f27.png
CIN,27,4-3,3,Combo Strong Zone,,,,,,"CB2 (slot 9) has a man-to-zone rule when the receiver moves left past the defender and the midpoint between that defender and the game's reference player. It signals DE2 (slot 0), then takes a zone at X +14, depth 18 yards. The stored partner slots are not reciprocal. Live effect is unproved.",CIN-p003-f27.png
CIN,27,4-3,26,Weak Combo Strong Zone,9,CB2,7,FS,7,"CB2 (slot 9) starts in man. When the receiver goes beyond the defender and reaches 15 yards downfield, it signals FS (slot 7) and takes a zone at X +15, depth 9 yards. FS starts with a zone landmark at X +9, depth 12 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",CIN-p026-f27.png
CIN,28,Nickel,26,Weak Combo Strong Zone,9,CB2,7,FS,7,"CB2 (slot 9) starts in man. When the receiver goes beyond the defender and reaches 15 yards downfield, it signals FS (slot 7) and takes a zone at X +15, depth 9 yards. FS starts with a zone landmark at X +9, depth 12 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",CIN-p026-f28.png
CIN,29,Dime,26,Weak Combo Strong Zone,9,CB2,7,FS,7,"CB2 (slot 9) starts in man. When the receiver goes beyond the defender and reaches 15 yards downfield, it signals FS (slot 7) and takes a zone at X +15, depth 9 yards. FS starts with a zone landmark at X +9, depth 12 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",CIN-p026-f29.png
DAL,23,4-3,16,Combo Inside Zone,9,CB2,4,OLB2,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB2 (slot 4) and takes a zone at X +15, depth 18 yards. OLB2 starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",DAL-p016-f23.png
DAL,23,4-3,16,Combo Inside Zone,10,CB,6,OLB,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals OLB (slot 6) and takes a zone at X -15, depth 18 yards. OLB starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",DAL-p016-f23.png
DAL,25,Nickel,16,Combo Inside Zone,9,CB2,4,OLB,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB (slot 4) and takes a zone at X +15, depth 18 yards. OLB starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",DAL-p016-f25.png
DAL,25,Nickel,16,Combo Inside Zone,10,CB,6,CB3,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals CB3 (slot 6) and takes a zone at X -15, depth 18 yards. CB3 starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",DAL-p016-f25.png
DAL,26,Dime,16,Combo Inside Zone,9,CB2,4,CB4,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals CB4 (slot 4) and takes a zone at X +15, depth 18 yards. CB4 starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",DAL-p016-f26.png
DAL,26,Dime,16,Combo Inside Zone,10,CB,6,CB3,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals CB3 (slot 6) and takes a zone at X -15, depth 18 yards. CB3 starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",DAL-p016-f26.png
DEN,25,Nickel,27,Combo Inside Zone,9,CB2,4,OLB,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB (slot 4) and takes a zone at X +15, depth 18 yards. OLB starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",DEN-p027-f25.png
DEN,25,Nickel,27,Combo Inside Zone,10,CB,6,CB3,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals CB3 (slot 6) and takes a zone at X -15, depth 18 yards. CB3 starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",DEN-p027-f25.png
DEN,26,Dime,27,Combo Inside Zone,9,CB2,4,CB4,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals CB4 (slot 4) and takes a zone at X +15, depth 18 yards. CB4 starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",DEN-p027-f26.png
DEN,26,Dime,27,Combo Inside Zone,10,CB,6,CB3,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals CB3 (slot 6) and takes a zone at X -15, depth 18 yards. CB3 starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",DEN-p027-f26.png
DET,24,4-3,11,Combo Inside Zone,9,CB2,4,OLB2,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB2 (slot 4) and takes a zone at X +15, depth 18 yards. OLB2 starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",DET-p011-f24.png
DET,24,4-3,11,Combo Inside Zone,10,CB,6,OLB,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals OLB (slot 6) and takes a zone at X -15, depth 18 yards. OLB starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",DET-p011-f24.png
DET,25,Nickel,11,Combo Inside Zone,9,CB2,4,OLB,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB (slot 4) and takes a zone at X +15, depth 18 yards. OLB starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",DET-p011-f25.png
DET,25,Nickel,11,Combo Inside Zone,10,CB,6,CB3,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals CB3 (slot 6) and takes a zone at X -15, depth 18 yards. CB3 starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",DET-p011-f25.png
DET,26,Dime,11,Combo Inside Zone,9,CB2,4,CB4,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals CB4 (slot 4) and takes a zone at X +15, depth 18 yards. CB4 starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",DET-p011-f26.png
DET,26,Dime,11,Combo Inside Zone,10,CB,6,CB3,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals CB3 (slot 6) and takes a zone at X -15, depth 18 yards. CB3 starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",DET-p011-f26.png
GB,32,Nickel,28,Combo Inside Zone,9,CB2,4,OLB,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB (slot 4) and takes a zone at X +15, depth 18 yards. OLB starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",GB-p028-f32.png
GB,32,Nickel,28,Combo Inside Zone,10,CB,6,CB3,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals CB3 (slot 6) and takes a zone at X -15, depth 18 yards. CB3 starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",GB-p028-f32.png
GB,33,Dime,28,Combo Inside Zone,9,CB2,4,CB4,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals CB4 (slot 4) and takes a zone at X +15, depth 18 yards. CB4 starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",GB-p028-f33.png
GB,33,Dime,28,Combo Inside Zone,10,CB,6,CB3,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals CB3 (slot 6) and takes a zone at X -15, depth 18 yards. CB3 starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",GB-p028-f33.png
GB,32,Nickel,55,Strong Bracket 1,10,CB,8,SS,7,"CB (slot 10) starts in man. When the receiver goes beyond the defender and reaches 15 yards downfield, it signals SS (slot 8) and takes a zone at X -15, depth 12 yards. SS starts with a zone landmark at X -15, depth 15 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",GB-p055-f32.png
GB,33,Dime,55,Strong Bracket 1,10,CB,8,SS,7,"CB (slot 10) starts in man. When the receiver goes beyond the defender and reaches 15 yards downfield, it signals SS (slot 8) and takes a zone at X -15, depth 12 yards. SS starts with a zone landmark at X -15, depth 15 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",GB-p055-f33.png
GB,32,Nickel,56,Weak Bracket 1,9,CB2,7,FS,7,"CB2 (slot 9) starts in man. When the receiver goes beyond the defender and reaches 15 yards downfield, it signals FS (slot 7) and takes a zone at X +15, depth 12 yards. FS starts with a zone landmark at X +15, depth 15 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",GB-p056-f32.png
GB,33,Dime,56,Weak Bracket 1,9,CB2,7,FS,7,"CB2 (slot 9) starts in man. When the receiver goes beyond the defender and reaches 15 yards downfield, it signals FS (slot 7) and takes a zone at X +15, depth 12 yards. FS starts with a zone landmark at X +15, depth 15 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",GB-p056-f33.png
GEN,24,3-4,34,Combo Strong Zone,9,CB2,0,OLB2,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB2 (slot 0) and takes a zone at X +14, depth 18 yards. OLB2 starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",GEN-p034-f24.png
GEN,24,3-4,39,Combo Inside Zone,9,CB2,0,OLB2,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB2 (slot 0) and takes a zone at X +15, depth 15 yards. OLB2 starts with a zone landmark at X +10, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",GEN-p039-f24.png
GEN,24,3-4,39,Combo Inside Zone,10,CB,6,OLB,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals OLB (slot 6) and takes a zone at X -15, depth 15 yards. OLB starts with a zone landmark at X -10, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",GEN-p039-f24.png
HOU,23,3-4,12,Combo Inside Zone,9,CB2,0,OLB2,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB2 (slot 0) and takes a zone at X +15, depth 15 yards. OLB2 starts with a zone landmark at X +10, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",HOU-p012-f23.png
HOU,23,3-4,12,Combo Inside Zone,10,CB,6,OLB,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals OLB (slot 6) and takes a zone at X -15, depth 15 yards. OLB starts with a zone landmark at X -10, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",HOU-p012-f23.png
HOU,25,Dime,12,Combo Inside Zone,9,CB2,0,OLB,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB (slot 0) and takes a zone at X +15, depth 15 yards. OLB starts with a zone landmark at X +10, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",HOU-p012-f25.png
HOU,25,Dime,12,Combo Inside Zone,10,CB,6,CB3,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals CB3 (slot 6) and takes a zone at X -15, depth 15 yards. CB3 starts with a zone landmark at X -10, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",HOU-p012-f25.png
HOU,23,3-4,13,Combo Strong Zone,9,CB2,0,OLB2,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB2 (slot 0) and takes a zone at X +14, depth 18 yards. OLB2 starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",HOU-p013-f23.png
HOU,25,Dime,35,Combo Weak Zone,10,CB,5,MLB,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals MLB (slot 5) and takes a zone at X -15, depth 15 yards. MLB starts with a zone landmark at X -8, depth 8 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",HOU-p035-f25.png
IND,28,4-3,12,Combo Inside Zone,9,CB2,4,OLB2,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB2 (slot 4) and takes a zone at X +15, depth 18 yards. OLB2 starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",IND-p012-f28.png
IND,28,4-3,12,Combo Inside Zone,10,CB,6,OLB,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals OLB (slot 6) and takes a zone at X -15, depth 18 yards. OLB starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",IND-p012-f28.png
IND,29,Nickel,12,Combo Inside Zone,9,CB2,4,OLB,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB (slot 4) and takes a zone at X +15, depth 18 yards. OLB starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",IND-p012-f29.png
IND,29,Nickel,12,Combo Inside Zone,10,CB,6,CB3,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals CB3 (slot 6) and takes a zone at X -15, depth 18 yards. CB3 starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",IND-p012-f29.png
IND,30,Dime,12,Combo Inside Zone,9,CB2,4,CB4,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals CB4 (slot 4) and takes a zone at X +15, depth 18 yards. CB4 starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",IND-p012-f30.png
IND,30,Dime,12,Combo Inside Zone,10,CB,6,CB3,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals CB3 (slot 6) and takes a zone at X -15, depth 18 yards. CB3 starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",IND-p012-f30.png
IND,28,4-3,14,Weak Combo Strong Zone,9,CB2,7,FS,7,"CB2 (slot 9) starts in man. When the receiver goes beyond the defender and reaches 15 yards downfield, it signals FS (slot 7) and takes a zone at X +15, depth 9 yards. FS starts with a zone landmark at X +9, depth 12 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",IND-p014-f28.png
JAX,25,Nickel,31,Combo Strong Zone,,,,,,"OLB (slot 4) has a zone-to-man continuation, waiting for its own slot signal; its later man node names CB2 (slot 9) as partner. The stored partner slots are not reciprocal. Live effect is unproved.",JAX-p031-f25.png
JAX,25,Nickel,31,Combo Strong Zone,,,,,,"CB2 (slot 9) has a man-to-zone rule when the receiver moves left past the defender and the midpoint between that defender and the game's reference player. It signals DE2 (slot 0), then takes a zone at X +14, depth 18 yards. The stored partner slots are not reciprocal. Live effect is unproved.",JAX-p031-f25.png
JAX,25,Nickel,32,Combo Inside Zone,9,CB2,4,OLB,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB (slot 4) and takes a zone at X +15, depth 18 yards. OLB starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",JAX-p032-f25.png
JAX,25,Nickel,32,Combo Inside Zone,10,CB,6,CB3,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals CB3 (slot 6) and takes a zone at X -15, depth 18 yards. CB3 starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",JAX-p032-f25.png
JAX,26,Dime,32,Combo Inside Zone,9,CB2,4,CB4,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals CB4 (slot 4) and takes a zone at X +15, depth 18 yards. CB4 starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",JAX-p032-f26.png
